Organisation.id|Place.id|eid_generated
0|59|4443
1|59|4444
2|59|4445
3|59|4446
4|59|4447
5|59|4448
6|59|4449
7|60|4450
8|60|4451
9|60|4452
10|60|4453
11|60|4454
12|2|4455
13|2|4456
14|2|4457
15|2|4458
16|2|4459
17|2|4460
18|2|4461
19|2|4462
20|2|4463
21|61|4464
22|61|4465
23|61|4466
24|61|4467
25|61|4468
26|61|4469
27|61|4470
28|61|4471
29|61|4472
30|61|4473
31|61|4474
32|61|4475
33|61|4476
34|62|4477
35|62|4478
36|62|4479
37|62|4480
38|62|4481
39|62|4482
40|62|4483
41|62|4484
42|62|4485
43|62|4486
44|62|4487
45|62|4488
46|62|4489
47|62|4490
48|62|4491
49|62|4492
50|62|4493
51|62|4494
52|62|4495
53|62|4496
54|62|4497
55|62|4498
56|62|4499
57|62|4500
58|62|4501
59|62|4502
60|62|4503
61|62|4504
62|62|4505
63|62|4506
64|62|4507
65|62|4508
66|62|4509
67|62|4510
68|62|4511
69|62|4512
70|62|4513
71|62|4514
72|62|4515
73|62|4516
74|62|4517
75|62|4518
76|62|4519
77|62|4520
78|62|4521
79|3|4522
80|3|4523
81|3|4524
82|3|4525
83|3|4526
84|3|4527
85|3|4528
86|3|4529
87|3|4530
88|3|4531
89|3|4532
90|3|4533
91|3|4534
92|3|4535
93|3|4536
94|3|4537
95|3|4538
96|3|4539
97|3|4540
98|3|4541
99|3|4542
100|4|4543
101|4|4544
102|4|4545
103|4|4546
104|4|4547
105|4|4548
106|63|4549
107|63|4550
108|63|4551
109|63|4552
110|64|4553
111|64|4554
112|64|4555
113|64|4556
114|64|4557
115|64|4558
116|64|4559
117|64|4560
118|64|4561
119|64|4562
120|64|4563
121|64|4564
122|5|4565
123|5|4566
124|5|4567
125|5|4568
126|5|4569
127|5|4570
128|5|4571
129|6|4572
130|6|4573
131|6|4574
132|6|4575
133|6|4576
134|6|4577
135|49|4578
136|49|4579
137|49|4580
138|49|4581
139|49|4582
140|49|4583
141|49|4584
142|49|4585
143|49|4586
144|49|4587
145|49|4588
146|49|4589
147|49|4590
148|49|4591
149|49|4592
150|49|4593
151|49|4594
152|49|4595
153|49|4596
154|49|4597
155|49|4598
156|49|4599
157|49|4600
158|49|4601
159|49|4602
160|49|4603
161|49|4604
162|49|4605
163|49|4606
164|49|4607
165|49|4608
166|49|4609
167|49|4610
168|49|4611
169|49|4612
170|49|4613
171|49|4614
172|49|4615
173|49|4616
174|49|4617
175|49|4618
176|49|4619
177|49|4620
178|49|4621
179|49|4622
180|49|4623
181|49|4624
182|49|4625
183|49|4626
184|49|4627
185|49|4628
186|7|4629
187|7|4630
188|7|4631
189|7|4632
190|7|4633
191|7|4634
192|7|4635
193|7|4636
194|7|4637
195|67|4638
196|67|4639
197|67|4640
198|67|4641
199|67|4642
200|67|4643
201|67|4644
202|67|4645
203|67|4646
204|67|4647
205|68|4648
206|68|4649
207|68|4650
208|68|4651
209|68|4652
210|66|4653
211|66|4654
212|66|4655
213|66|4656
214|66|4657
215|66|4658
216|66|4659
217|66|4660
218|66|4661
219|66|4662
220|66|4663
221|66|4664
222|66|4665
223|66|4666
224|66|4667
225|66|4668
226|66|4669
227|66|4670
228|66|4671
229|66|4672
230|66|4673
231|66|4674
232|66|4675
233|66|4676
234|66|4677
235|66|4678
236|66|4679
237|66|4680
238|66|4681
239|66|4682
240|66|4683
241|66|4684
242|66|4685
243|66|4686
244|66|4687
245|66|4688
246|66|4689
247|66|4690
248|66|4691
249|8|4692
250|8|4693
251|8|4694
252|69|4695
253|69|4696
254|69|4697
