Person.id|Organisation.id|eid_generated|workFrom
8796093022220|296|31627|2009
8796093022220|298|31628|2010
2199023255591|1093|31629|2007
2199023255591|1095|31630|2007
2199023255591|1047|31631|2007
2199023255591|1083|31632|2007
4398046511124|776|31633|2008
4398046511105|496|31634|2008
4398046511105|514|31635|2007
4398046511105|293|31636|2008
8796093022239|448|31637|2003
8796093022239|459|31638|2002
8796093022239|462|31639|2002
8796093022222|593|31640|2002
8796093022222|1011|31641|2002
8796093022222|598|31642|2004
8796093022222|605|31643|2003
10995116277794|22|31644|2007
10995116277794|31|31645|2006
48|832|31646|2010
48|842|31647|2006
48|829|31648|2008
6597069766681|624|31649|2006
6597069766681|642|31650|2006
6597069766681|630|31651|2006
6597069766681|621|31652|2007
6597069766681|622|31653|2007
6|930|31654|2005
6|936|31655|2006
6|921|31656|2006
6|923|31657|2007
2199023255589|914|31658|2009
2199023255589|915|31659|2004
2199023255589|937|31660|2005
8796093022235|980|31661|2008
2199023255555|1056|31662|2004
2199023255555|1075|31663|2004
2199023255555|1034|31664|2004
2199023255555|1070|31665|2003
4398046511109|1139|31666|2009
4398046511109|597|31667|2009
4398046511109|814|31668|2010
8796093022232|917|31669|2008
8796093022232|919|31670|2010
8796093022232|937|31671|2004
8796093022232|938|31672|1999
8796093022232|906|31673|2004
2199023255574|671|31674|2006
4398046511113|103|31675|2005
6597069766672|971|31676|2008
10995116277793|134|31677|2003
10995116277793|8|31678|2004
10995116277793|11|31679|2002
6597069766692|549|31680|2006
4398046511146|9|31681|2010
4398046511146|11|31682|2003
10995116277806|802|31683|2009
10995116277806|781|31684|2009
4398046511133|934|31685|2006
4398046511133|911|31686|2005
8796093022248|166|31687|2007
8796093022248|156|31688|2007
10995116277795|896|31689|2011
10995116277795|897|31690|2010
10995116277795|364|31691|2011
10995116277795|895|31692|2010
2199023255565|1331|31693|2009
2199023255565|1348|31694|2009
2199023255565|1326|31695|2006
6597069766674|1153|31696|2002
6597069766674|1166|31697|2002
6597069766674|1151|31698|2003
4398046511123|1569|31699|2008
4398046511123|1573|31700|2008
4398046511123|1574|31701|2008
4398046511147|546|31702|2005
4398046511136|800|31703|2001
4398046511136|784|31704|2001
4398046511136|808|31705|2003
4398046511136|780|31706|2003
6597069766656|548|31707|2007
6597069766656|551|31708|2005
8796093022215|912|31709|2008
8796093022215|934|31710|2008
8796093022215|924|31711|2007
8796093022215|926|31712|2007
41|545|31713|2005
41|553|31714|2006
41|538|31715|2005
4398046511151|1227|31716|2003
4398046511151|1228|31717|2005
4398046511151|1230|31718|2004
6597069766660|1562|31719|2008
6597069766660|1563|31720|2007
6597069766660|1564|31721|2008
10|443|31722|2008
10|446|31723|2009
10|463|31724|2008
10995116277809|553|31725|2003
4398046511127|1472|31726|2010
4398046511127|1490|31727|2010
4398046511127|1445|31728|2009
4398046511127|1516|31729|2010
4398046511127|1453|31730|2010
4398046511106|999|31731|2008
4398046511106|569|31732|2010
4398046511106|555|31733|2009
8796093022252|1053|31734|2008
8796093022238|1256|31735|2002
8796093022238|1243|31736|2006
8796093022238|1245|31737|2004
2199023255580|1248|31738|2008
2199023255580|1239|31739|2007
8796093022246|805|31740|2004
8796093022246|806|31741|2006
8796093022246|791|31742|2004
8796093022246|793|31743|2005
