Tag.id|TagClass.id|eid_generated
0|349|13331
1|211|13332
2|98|13333
3|336|13334
4|336|13335
5|336|13336
6|193|13337
7|82|13338
8|88|13339
9|211|13340
10|57|13341
11|94|13342
12|59|13343
13|59|13344
14|59|13345
15|349|13346
16|59|13347
17|59|13348
18|59|13349
19|59|13350
20|59|13351
21|59|13352
22|57|13353
23|74|13354
24|115|13355
25|57|13356
26|211|13357
27|59|13358
28|59|13359
29|59|13360
30|59|13361
31|59|13362
32|37|13363
33|349|13364
34|59|13365
35|59|13366
36|59|13367
37|59|13368
38|349|13369
39|74|13370
40|74|13371
41|57|13372
42|115|13373
43|59|13374
44|59|13375
45|59|13376
46|57|13377
47|59|13378
48|59|13379
49|59|13380
50|57|13381
51|74|13382
52|59|13383
53|59|13384
54|59|13385
55|94|13386
56|59|13387
57|59|13388
58|349|13389
59|211|13390
60|59|13391
61|349|13392
62|59|13393
63|349|13394
64|148|13395
65|115|13396
66|24|13397
67|211|13398
68|59|13399
69|349|13400
70|59|13401
71|211|13402
72|211|13403
73|24|13404
74|349|13405
75|37|13406
76|37|13407
77|349|13408
78|59|13409
79|115|13410
80|211|13411
81|59|13412
82|24|13413
83|211|13414
84|115|13415
85|59|13416
86|59|13417
87|211|13418
88|59|13419
89|115|13420
90|115|13421
91|191|13422
92|211|13423
93|59|13424
94|148|13425
95|59|13426
96|59|13427
97|59|13428
98|211|13429
99|24|13430
100|211|13431
101|59|13432
102|24|13433
103|115|13434
104|211|13435
105|211|13436
106|211|13437
107|211|13438
108|59|13439
109|59|13440
110|211|13441
111|88|13442
112|349|13443
113|349|13444
114|211|13445
115|59|13446
116|24|13447
117|211|13448
118|148|13449
119|82|13450
120|349|13451
121|59|13452
122|96|13453
123|24|13454
124|59|13455
125|349|13456
126|319|13457
127|95|13458
128|59|13459
129|349|13460
130|349|13461
131|349|13462
132|211|13463
133|349|13464
134|59|13465
135|24|13466
136|59|13467
137|211|13468
138|57|13469
139|211|13470
140|349|13471
141|211|13472
142|211|13473
143|211|13474
144|336|13475
145|336|13476
146|211|13477
147|336|13478
148|211|13479
149|336|13480
150|211|13481
151|59|13482
152|336|13483
153|211|13484
154|211|13485
155|211|13486
156|82|13487
157|211|13488
158|211|13489
159|336|13490
160|336|13491
161|59|13492
162|336|13493
163|336|13494
164|37|13495
165|59|13496
166|59|13497
167|211|13498
168|336|13499
169|211|13500
170|336|13501
171|37|13502
172|59|13503
173|336|13504
174|279|13505
175|336|13506
176|336|13507
177|211|13508
178|59|13509
179|37|13510
180|115|13511
181|336|13512
182|82|13513
183|336|13514
184|59|13515
185|211|13516
186|59|13517
187|226|13518
188|336|13519
189|37|13520
190|211|13521
191|211|13522
192|279|13523
193|211|13524
194|211|13525
195|349|13526
196|59|13527
197|59|13528
198|250|13529
199|349|13530
200|59|13531
201|211|13532
202|59|13533
203|59|13534
204|3|13535
205|336|13536
206|336|13537
207|211|13538
208|59|13539
