Person.id|Organisation.id|workFrom
933|1226|2013
933|1227|2013
933|1230|2013
6597069767117|819|2007
6597069767117|820|2007
6597069767117|822|2008
6597069767117|823|2007
21990232556027|10|2008
21990232556027|11|2008
26388279066636|296|2009
26388279066636|298|2010
28587302322727|1461|2003
28587302322727|1497|2003
2199023256181|761|2012
2199023256181|553|2008
4398046511870|936|2009
4398046511870|923|2009
4398046511870|911|2010
6597069766983|838|2005
19791209300372|452|2007
19791209300372|484|2007
19791209300372|488|2008
26388279067350|915|2009
26388279067350|916|2009
26388279067350|935|2009
26388279067350|936|2009
26388279067350|908|2009
28587302322873|337|2001
28587302322873|341|2000
28587302322873|344|2000
8796093023143|1297|2008
8796093023143|1300|2008
8796093023143|1301|2009
13194139533850|107|2004
13194139533850|108|2004
13194139533850|109|2004
17592186044504|915|2009
17592186044504|923|2001
17592186044504|927|2003
19791209300058|1558|2003
19791209300058|1559|2003
28587302322741|145|1998
28587302322741|182|1999
28587302322741|135|1999
28587302322741|185|2000
32985348833558|481|2009
32985348833558|454|2009
32985348833558|455|2008
32985348833558|456|2009
6597069766961|864|2004
6597069766961|865|2003
6597069766961|866|2004
8796093022641|723|2005
8796093022641|1559|2005
8796093022641|1560|2006
8796093022641|1561|2005
8796093023138|1013|2000
8796093023138|1021|2002
8796093023138|1022|1998
15393162789410|1073|2005
15393162789410|1058|2009
15393162789410|1087|2007
21990232555940|936|2001
21990232555940|283|2000
24189255811398|1011|2005
24189255811398|265|2004
24189255811398|286|2005
24189255811398|271|2006
28587302322686|296|2005
28587302322686|297|2005
28587302322686|298|2004
32985348833849|944|2003
32985348833849|948|2002
32985348833849|942|2003
4398046511463|179|2001
4398046511463|138|2001
4398046511463|157|2000
6597069766695|1093|2007
6597069766695|1095|2007
6597069766695|1047|2007
6597069766695|1083|2007
6597069767625|1557|1999
6597069767625|1560|2001
6597069767625|1561|2001
8796093022467|259|2010
8796093022467|887|2011
8796093022467|888|2011
8796093022467|889|2010
13194139533332|776|2011
13194139533589|352|2001
13194139533589|363|2002
13194139533589|364|2010
13194139533589|349|2005
24189255811694|770|2006
24189255811694|761|2006
24189255811694|765|2007
24189255811694|766|2007
30786325577960|659|2001
30786325577960|646|2000
30786325577960|647|1999
30786325577960|636|1999
32985348834262|33|2002
32985348834262|24|2001
32985348834262|26|2002
32985348834262|28|2000
32985348834262|524|2002
65|758|2008
2199023255981|1088|2005
2199023255981|1041|2009
2199023256530|195|2005
2199023256530|201|2005
2199023256530|202|2007
2199023256530|204|2005
15393162789569|1323|2010
15393162789569|1324|2010
19791209300474|1558|2001
19791209300739|912|2008
19791209300739|931|2009
19791209300739|935|2008
21990232556180|1296|2004
21990232556180|1299|2005
21990232556180|1302|2005
21990232556180|1338|2005
28587302322281|544|2010
28587302322281|538|2007
28587302322281|862|2006
28587302322281|542|2008
32985348833679|1175|2008
32985348833679|1177|2008
32985348833686|864|2005
32985348833686|147|2005
32985348833686|181|2004
32985348833686|150|2004
8796093022290|706|2003
8796093022290|810|2003
8796093022290|811|2003
8796093022290|812|2004
15393162789560|542|2011
17592186044568|927|2009
19791209300796|139|1998
19791209300796|156|1998
19791209300796|175|2000
2199023255747|548|2008
2199023255747|1238|2007
2199023255747|552|2006
2199023255747|554|2006
13194139533648|544|2001
13194139533648|546|2002
13194139533648|548|2002
13194139533912|461|2008
28587302322718|399|2005
30786325578724|680|2002
30786325578724|670|2010
2199023256405|544|2008
2199023256405|545|2006
2199023256405|553|2007
10995116278292|450|2011
21990232555627|708|2000
21990232555627|712|2012
21990232555627|697|2002
21990232555627|713|2011
28587302322627|961|2009
28587302322627|965|2008
28587302322627|968|2010
28587302322627|955|2008
28587302322627|956|2009
893|914|2008
893|916|2009
893|907|2009
893|924|2009
893|909|2008
6597069767495|967|2012
6597069767495|952|2012
10995116277924|468|2002
10995116277924|470|2000
10995116277924|479|2002
19791209300852|918|2012
19791209300852|934|2010
19791209300852|938|2011
19791209300852|911|2008
21990232555895|81|2002
21990232555895|1122|2002
21990232555895|1557|2002
21990232555895|1561|2002
21990232556476|948|2012
21990232556476|940|2010
21990232556476|943|2011
32985348833559|1561|2009
10995116278281|594|2004
10995116278281|601|2004
10995116278453|1513|2009
10995116278453|1499|2008
10995116278453|1534|2008
15393162789349|1349|2008
15393162789349|1350|2011
15393162789349|1340|2012
15393162789349|1342|2008
15393162789349|1327|2009
19791209300631|550|2004
19791209300631|542|2005
30786325578056|1321|2006
30786325578056|1322|2009
30786325578056|1325|2004
4398046511628|1013|2004
4398046511628|1021|2004
13194139533792|957|2007
13194139534257|146|2008
19791209300124|1378|2004
19791209300124|1351|2004
19791209300124|1369|2004
19791209300124|1356|2005
24189255811862|323|2005
24189255811862|310|2006
24189255811862|312|2006
24189255811862|313|2006
30786325578144|810|2000
30786325578144|812|2000
30786325578144|813|1999
2199023255869|864|2002
2199023255869|866|2001
2199023255869|771|2002
8796093022386|770|2009
13194139533523|502|2007
13194139533523|214|2009
15393162788865|496|2008
15393162788865|514|2007
15393162788865|293|2008
17592186044605|931|2009
17592186044605|919|2008
17592186044605|906|2009
17592186044605|1117|2009
17592186044605|685|2008
24189255811103|448|2003
24189255811103|459|2002
24189255811103|462|2002
24189255811719|966|2008
24189255811719|399|2007
24189255811782|1|2007
24189255811782|1001|2007
24189255811782|1002|2008
26388279066717|21|2008
26388279066717|30|2007
26388279066717|31|2008
28587302323020|128|2010
28587302323020|1560|2011
28587302323020|1561|2010
2199023256300|195|2012
2199023256300|196|2004
2199023256300|198|2002
2199023256300|200|2005
2199023256300|201|1999
8796093022392|1559|2001
8796093022392|1560|2001
8796093022392|1561|2002
10995116278554|912|2012
10995116278554|935|2010
10995116278554|921|2009
10995116278554|922|2008
10995116278570|932|2004
10995116278570|917|2004
10995116278570|936|2007
10995116278570|937|2003
10995116278570|905|2010
17592186045074|546|2008
17592186045074|553|2009
21990232556497|1176|1999
30786325578670|965|2008
30786325578670|951|2008
30786325578670|956|2008
2199023256363|962|2000
2199023256363|949|2000
2199023256363|967|1999
2199023256363|958|1999
4398046511937|880|2000
4398046511937|811|2000
4398046511937|813|1999
6597069766725|676|2000
6597069766725|677|2000
6597069766725|680|2002
6597069766725|668|2001
10995116277820|482|2010
10995116278238|1096|2010
10995116278238|1085|2009
17592186045360|470|2002
17592186045360|463|2001
24189255811654|964|2006
24189255811654|953|2000
24189255811654|955|2005
24189255811940|538|2001
28587302322372|532|2003
28587302322372|534|2003
28587302322372|535|2002
32985348834019|893|2007
32985348834019|895|2005
2199023255660|1106|2009
2199023255660|824|2000
2199023255660|827|2005
8796093022634|339|2008
8796093022634|967|2008
8796093022634|952|2007
8796093022634|958|2007
15393162789262|684|2003
10995116278300|930|1998
10995116278300|907|1998
15393162789746|600|2009
17592186044864|912|2003
17592186044864|925|2004
21990232555889|919|2008
24189255811086|593|2002
24189255811086|1011|2002
24189255811086|598|2004
24189255811086|605|2003
512|912|2005
512|929|2005
512|935|2004
26388279067512|546|2001
26388279067512|551|2000
26388279067512|554|2002
26388279067512|539|2000
26388279067512|541|2000
28587302322515|7|2002
28587302322515|10|2001
32985348833314|22|2009
32985348833314|31|2007
407|964|2004
407|966|2006
407|959|2005
2199023255637|928|2009
2199023255637|913|2008
2199023255637|924|2009
2199023255637|813|2008
4398046511152|832|2011
4398046511152|842|2007
4398046511152|829|2009
6597069767067|591|2009
6597069767377|549|2003
6597069767377|541|2003
21990232556166|549|2012
21990232556166|552|2011
21990232556166|542|2011
24189255811234|7|2006
26388279067147|592|2007
26388279067147|597|2007
28587302322809|936|2000
28587302322809|923|1999
28587302322809|925|1998
28587302322809|926|2000
4398046511884|573|2007
19791209300151|676|2012
19791209300151|680|2007
19791209300151|681|2011
19791209300151|685|2012
19791209300151|671|2012
32985348833887|914|2006
32985348833887|934|2005
32985348833887|909|2006
987|864|2005
987|865|2004
4398046511467|369|2007
6597069766938|758|2007
8796093022368|955|2008
8796093022368|956|2007
8796093022368|958|2007
19791209300787|944|2006
19791209300787|948|2010
24189255811817|544|2008
24189255811817|554|2009
24189255811817|541|2007
24189255811817|543|2008
32985348833931|2|2002
32985348833931|4|2003
32985348833931|5|2003
32985348833931|6|2002
465|930|1999
465|932|1998
10995116278730|898|2002
10995116278730|931|2001
13194139533817|897|2001
13194139533817|888|2010
13194139533817|894|2010
15393162789401|726|2009
15393162789401|727|2009
15393162789401|717|2010
19791209299993|624|2006
19791209299993|642|2006
19791209299993|630|2006
19791209299993|621|2007
19791209299993|622|2007
24189255811455|961|2010
24189255811455|965|2011
24189255811455|953|2008
24189255811455|957|2010
26388279067532|1298|2009
32985348834013|861|2002
32985348834013|862|2001
8796093022647|721|2003
8796093022647|722|2002
8796093022647|725|2003
8796093022647|717|2002
8796093022909|729|2005
15393162789112|1217|2003
15393162789112|1191|2002
15393162789112|1225|2004
17592186045005|904|2007
17592186045005|333|2007
