Post.id|Tag.id|eid_generated
618475290624|59|78354
618475290624|779|78355
618475290624|3047|78356
618475290624|5159|78357
3|59|78358
3|565|78359
3|1767|78360
3|1936|78361
3|1989|78362
3|2855|78363
274877907294|59|78364
274877907294|1339|78365
274877907294|2095|78366
274877907294|5059|78367
274877907294|5180|78368
274877907294|6435|78369
274877907294|15257|78370
274877907314|1339|78371
274877907314|7380|78372
274877907314|9149|78373
274877907314|9287|78374
274877907314|11363|78375
274877907322|975|78376
274877907322|1339|78377
274877907322|2007|78378
274877907322|2054|78379
274877907322|9050|78380
274877907322|9223|78381
274877907322|12408|78382
1030792151442|1524|78383
824633721536|1|78384
824633721536|1444|78385
824633721536|1863|78386
824633721536|6674|78387
137438954185|563|78388
137438954185|1990|78389
137438954185|5666|78390
137438954185|5915|78391
137438954185|6753|78392
137438954185|6797|78393
137438954185|7339|78394
137438954185|8708|78395
137438954185|9041|78396
137438954185|14374|78397
343597384406|413|78398
343597384406|7414|78399
343597384406|8590|78400
343597384406|11043|78401
343597384406|12086|78402
687194768089|1410|78403
687194768089|2938|78404
687194768089|3011|78405
687194768089|6405|78406
687194768106|1410|78407
687194768106|1670|78408
687194768106|1678|78409
687194768106|3068|78410
687194768106|11666|78411
687194768106|11748|78412
687194768106|12299|78413
412316861180|1748|78414
412316861180|4975|78415
412316861180|5167|78416
412316861180|6373|78417
412316861180|7555|78418
412316861180|7919|78419
412316861180|9034|78420
137438954240|563|78421
137438954240|2036|78422
137438954240|2912|78423
137438954240|7245|78424
137438954240|9572|78425
137438954252|563|78426
137438954252|2044|78427
137438954252|12763|78428
137438954252|13191|78429
687194768160|288|78430
687194768160|1410|78431
687194768160|5438|78432
687194768160|7584|78433
687194768160|9153|78434
687194768160|12219|78435
137438954273|563|78436
137438954273|5127|78437
412316861220|543|78438
412316861220|1748|78439
412316861220|2965|78440
412316861220|11377|78441
412316861220|11623|78442
412316861220|11673|78443
412316861220|12254|78444
687194768172|1410|78445
687194768172|2869|78446
687194768172|3058|78447
687194768172|3090|78448
687194768172|9056|78449
687194768172|9084|78450
687194768172|9326|78451
687194768172|11686|78452
755914244929|6|78453
755914244929|594|78454
755914244929|1186|78455
274877907786|1339|78456
274877907786|6269|78457
274877907786|7547|78458
274877907786|7558|78459
274877907786|7581|78460
1030792152209|279|78461
206158431390|561|78462
206158431390|792|78463
206158431390|2926|78464
206158431390|5157|78465
206158431398|561|78466
206158431398|5085|78467
206158431416|449|78468
206158431416|561|78469
206158431416|974|78470
206158431416|5118|78471
206158431416|6411|78472
206158431416|9354|78473
274877908183|558|78474
274877908183|11742|78475
343597384922|558|78476
618475291867|558|78477
1030792152295|558|78478
1030792152297|558|78479
755914245359|558|78480
687194768632|558|78481
481036338444|558|78482
481036338444|11742|78483
343597384997|558|78484
618475291950|558|78485
618475291950|574|78486
962072675639|558|78487
549755815224|558|78488
343597385030|558|78489
343597385047|558|78490
343597385056|558|78491
274877908327|558|78492
343597385080|413|78493
343597385080|5158|78494
687194768770|1524|78495
687194768770|2976|78496
687194768770|6183|78497
687194768770|6292|78498
687194768770|6420|78499
687194768770|10028|78500
687194768770|12963|78501
687194768770|15530|78502
687194768773|1191|78503
687194768773|1524|78504
687194768773|8277|78505
687194768773|11635|78506
687194768773|11726|78507
687194768776|1524|78508
687194768776|5832|78509
687194768797|1524|78510
687194768797|2808|78511
687194768797|5067|78512
687194768797|6951|78513
687194768797|11541|78514
687194768813|1375|78515
687194768813|2874|78516
687194768813|5577|78517
687194768813|8815|78518
687194768820|1524|78519
687194768820|2881|78520
687194768820|2888|78521
687194768820|2968|78522
687194768820|2982|78523
687194768820|3005|78524
687194768820|6950|78525
687194768820|14575|78526
687194768834|1524|78527
687194768834|1763|78528
687194768834|12085|78529
687194768850|575|78530
687194768850|1524|78531
687194768850|2019|78532
687194768850|9261|78533
687194768850|12478|78534
687194768866|1524|78535
687194768866|2947|78536
687194768866|6393|78537
687194768866|10919|78538
343597385195|413|78539
343597385195|2899|78540
343597385195|7287|78541
343597385195|9043|78542
343597385195|11165|78543
343597385195|11642|78544
343597385214|413|78545
343597385214|975|78546
343597385214|2024|78547
343597385229|413|78548
343597385229|2027|78549
343597385229|6797|78550
343597385229|8705|78551
343597385229|9177|78552
687194768915|1524|78553
687194768915|5674|78554
687194768915|11378|78555
687194768915|12345|78556
687194768915|13425|78557
687194768934|1375|78558
687194768934|6932|78559
687194768934|7840|78560
687194768934|11202|78561
687194768934|11681|78562
687194768937|1524|78563
687194768937|6424|78564
687194768937|6426|78565
687194768937|7525|78566
687194768937|12122|78567
687194768937|12648|78568
687194768942|1375|78569
687194768942|5792|78570
687194768942|5993|78571
687194768942|7541|78572
343597385268|413|78573
343597385268|2815|78574
343597385268|2892|78575
687194768961|1524|78576
687194768961|2813|78577
687194768961|8545|78578
687194768971|1524|78579
687194768971|1672|78580
687194768971|2958|78581
687194768971|3097|78582
687194768971|5677|78583
687194768971|7547|78584
687194768971|12176|78585
687194768971|13832|78586
687194768972|775|78587
687194768972|1375|78588
687194768972|6726|78589
687194768972|6965|78590
687194768972|7130|78591
687194768972|10477|78592
687194768972|12512|78593
687194768972|13817|78594
343597385297|293|78595
343597385297|413|78596
343597385297|2986|78597
343597385297|10193|78598
687194768990|1375|78599
687194768990|5138|78600
687194768990|6966|78601
687194768990|7362|78602
687194768990|7459|78603
687194768990|11417|78604
687194768992|1375|78605
687194768992|7432|78606
687194768992|8265|78607
687194768992|9648|78608
687194768992|13613|78609
687194768995|1375|78610
687194768995|5786|78611
