Tag.id|TagClass.id|eid_generated
0|349|431196
1|211|431197
2|98|431198
3|336|431199
4|336|431200
5|336|431201
6|193|431202
7|82|431203
8|88|431204
9|211|431205
10|57|431206
11|94|431207
12|59|431208
13|59|431209
14|59|431210
15|349|431211
16|59|431212
17|59|431213
18|59|431214
19|59|431215
20|59|431216
21|59|431217
22|57|431218
23|74|431219
24|115|431220
25|57|431221
26|211|431222
27|59|431223
28|59|431224
29|59|431225
30|59|431226
31|59|431227
32|37|431228
33|349|431229
34|59|431230
35|59|431231
36|59|431232
37|59|431233
38|349|431234
39|74|431235
40|74|431236
41|57|431237
42|115|431238
43|59|431239
44|59|431240
45|59|431241
46|57|431242
47|59|431243
48|59|431244
49|59|431245
50|57|431246
51|74|431247
52|59|431248
53|59|431249
54|59|431250
55|94|431251
56|59|431252
57|59|431253
58|349|431254
59|211|431255
60|59|431256
61|349|431257
62|59|431258
63|349|431259
64|148|431260
65|115|431261
66|24|431262
67|211|431263
68|59|431264
69|349|431265
70|59|431266
71|211|431267
72|211|431268
73|24|431269
74|349|431270
75|37|431271
76|37|431272
77|349|431273
78|59|431274
79|115|431275
80|211|431276
81|59|431277
82|24|431278
83|211|431279
84|115|431280
85|59|431281
86|59|431282
87|211|431283
88|59|431284
89|115|431285
90|115|431286
91|191|431287
92|211|431288
93|59|431289
94|148|431290
95|59|431291
96|59|431292
97|59|431293
98|211|431294
99|24|431295
100|211|431296
101|59|431297
102|24|431298
103|115|431299
104|211|431300
105|211|431301
106|211|431302
107|211|431303
108|59|431304
109|59|431305
110|211|431306
111|88|431307
112|349|431308
113|349|431309
114|211|431310
115|59|431311
116|24|431312
117|211|431313
118|148|431314
119|82|431315
120|349|431316
121|59|431317
122|96|431318
123|24|431319
124|59|431320
125|349|431321
126|319|431322
127|95|431323
128|59|431324
129|349|431325
130|349|431326
131|349|431327
132|211|431328
133|349|431329
134|59|431330
135|24|431331
136|59|431332
137|211|431333
138|57|431334
139|211|431335
140|349|431336
141|211|431337
142|211|431338
143|211|431339
144|336|431340
145|336|431341
146|211|431342
147|336|431343
148|211|431344
149|336|431345
150|211|431346
151|59|431347
152|336|431348
153|211|431349
154|211|431350
155|211|431351
156|82|431352
157|211|431353
158|211|431354
159|336|431355
160|336|431356
161|59|431357
162|336|431358
163|336|431359
164|37|431360
165|59|431361
166|59|431362
167|211|431363
168|336|431364
169|211|431365
170|336|431366
171|37|431367
172|59|431368
173|336|431369
174|279|431370
175|336|431371
176|336|431372
177|211|431373
178|59|431374
179|37|431375
180|115|431376
181|336|431377
182|82|431378
183|336|431379
184|59|431380
185|211|431381
186|59|431382
187|226|431383
188|336|431384
189|37|431385
190|211|431386
191|211|431387
192|279|431388
193|211|431389
194|211|431390
195|349|431391
196|59|431392
197|59|431393
198|250|431394
199|349|431395
200|59|431396
201|211|431397
202|59|431398
203|59|431399
204|3|431400
205|336|431401
206|336|431402
207|211|431403
208|59|431404
209|336|431405
210|59|431406
211|59|431407
212|211|431408
213|59|431409
214|115|431410
215|336|431411
216|230|431412
217|37|431413
218|115|431414
219|211|431415
220|59|431416
221|336|431417
222|336|431418
223|97|431419
224|37|431420
225|3|431421
226|82|431422
227|250|431423
228|319|431424
229|59|431425
230|88|431426
231|59|431427
232|59|431428
233|59|431429
234|59|431430
235|211|431431
236|115|431432
237|59|431433
238|336|431434
239|336|431435
240|59|431436
241|211|431437
242|88|431438
243|349|431439
244|59|431440
245|59|431441
246|74|431442
247|349|431443
248|74|431444
249|59|431445
250|74|431446
251|59|431447
