TagClass.id|TagClass.id.1|eid_generated
349|211|78284
211|239|78285
239|0|78286
98|211|78287
336|155|78288
155|211|78289
193|109|78290
109|211|78291
82|211|78292
88|250|78293
250|211|78294
57|95|78295
95|211|78296
94|211|78297
59|149|78298
149|211|78299
74|149|78300
115|250|78301
37|149|78302
148|95|78303
24|149|78304
191|149|78305
96|250|78306
319|149|78307
279|211|78308
226|211|78309
3|211|78310
230|149|78311
97|250|78312
13|149|78313
212|211|78314
330|95|78315
43|149|78316
200|250|78317
354|149|78318
141|149|78319
310|149|78320
332|109|78321
355|95|78322
219|95|78323
61|301|78324
301|239|78325
72|149|78326
104|47|78327
47|149|78328
152|112|78329
112|149|78330
347|95|78331
173|211|78332
295|211|78333
287|211|78334
167|95|78335
145|188|78336
188|0|78337
339|211|78338
77|211|78339
46|200|78340
342|123|78341
123|188|78342
182|123|78343
180|123|78344
62|318|78345
318|303|78346
303|0|78347
302|295|78348
233|180|78349
41|301|78350
243|301|78351
242|67|78352
67|211|78353
