src_id,dst_id
2,3197
2,6133
2,6744
2,7157
3,5189
20,3549
23,4080
23,5462
34,711
34,3202
34,7378
35,6401
39,3441
44,645
44,1332
44,3441
48,651
52,3814
62,900
62,2483
65,2721
67,342
67,6345
69,897
69,1144
69,5823
70,1233
70,8004
73,2737
79,5927
82,2352
82,5221
82,6402
82,7378
82,8457
85,1284
85,7118
91,3127
91,4301
105,649
112,4297
122,6442
124,6480
126,6335
127,314
127,8331
131,4521
136,2872
137,314
137,6897
140,6070
140,6747
144,505
144,7378
146,4446
146,6677
147,3026
149,54
149,1126
160,1581
160,4197
160,5587
173,1282
173,2352
173,8311
182,5217
189,2721
196,403
196,3659
196,4594
203,2085
203,4359
203,5014
203,5939
208,6401
215,1540
215,2721
218,6524
227,692
229,7625
236,5096
236,5971
249,4668
249,6314
249,7378
251,2987
251,3207
251,4617
262,4938
268,3814
268,4668
268,7629
268,8205
273,709
295,4230
295,6345
299,2102
299,3441
303,252
305,1399
308,957
308,1262
308,5901
308,8027
314,7688
314,7873
315,5912
322,5294
322,6677
331,6429
338,172
338,1126
338,1726
338,3549
341,2346
342,8004
347,5893
348,7352
349,5838
350,6856
351,275
351,900
354,5787
354,6264
365,5014
368,3004
370,2412
370,4029
370,4301
375,6299
384,706
395,28
395,5172
395,7629
403,6404
406,8381
414,5912
428,1923
430,7046
431,2909
431,3004
431,6429
446,2087
446,2161
455,4315
457,7378
462,3121
469,776
469,7518
486,5014
486,5939
492,739
495,3026
495,3864
495,6465
498,699
498,5640
498,7257
500,3117
501,2315
508,294
508,4033
508,5854
519,8002
528,3038
528,3814
535,957
535,6442
546,1281
546,2987
546,4230
546,5823
549,4668
549,6542
555,4668
555,8347
557,266
557,1034
557,7378
559,2872
566,2373
566,7595
566,7629
584,1495
584,2987
592,1959
594,5540
600,6070
600,6968
602,2728
602,5597
605,7403
605,7931
607,181
616,7182
617,6542
624,6154
628,3356
634,5410
634,8722
642,656
645,3207
653,5217
659,2850
659,7378
659,8649
662,5991
667,1745
671,3553
674,3376
679,4148
688,6304
692,8381
694,656
694,5999
694,7265
696,34
696,3121
696,4617
696,6285
698,5941
704,2737
704,3845
704,4080
704,6428
711,1884
711,4668
711,6897
720,7199
720,7524
723,2932
731,1987
731,7378
732,3513
738,3376
738,6623
738,7172
739,602
739,6623
739,7378
742,7723
763,7302
778,3087
778,6280
803,1871
804,744
806,4267
806,5912
806,8488
816,4083
819,2704
819,5663
830,6070
833,1863
833,5465
833,5473
835,5062
835,8715
836,169
837,5155
839,5362
844,4938
845,1065
845,4080
848,5046
852,2932
853,5335
858,2113
859,5337
