src,dst,dist
"v1","v2",8
"v1","v3",50
"v1","v4",74
"v1","v5",59
"v1","v6",31
"v1","v7",73
"v1","v8",45
"v1","v9",79
"v1","v10",24
"v1","v11",10
"v2","v12",41
"v2","v13",66
"v2","v14",93
"v2","v15",43
"v2","v16",88
"v2","v17",4
"v2","v18",28
"v2","v19",30
"v2","v20",41
"v2","v21",13
"v4","v22",4
"v4","v23",70
"v4","v24",10
"v4","v25",58
"v4","v26",61
"v4","v27",34
"v4","v28",100
"v4","v29",79
"v4","v30",17
"v4","v31",36
"v5","v32",98
"v5","v33",27
"v5","v34",13
"v5","v35",68
"v5","v36",11
"v5","v37",34
"v5","v38",80
"v5","v39",50
"v5","v40",80
"v5","v41",22
"v6","v42",68
"v6","v43",73
"v6","v44",94
"v6","v45",37
"v6","v46",86
"v6","v47",46
"v6","v48",29
"v6","v49",92
"v6","v50",95
"v7","v51",58
"v7","v52",2
"v7","v53",54
"v7","v54",9
"v7","v55",45
"v7","v56",69
"v7","v57",91
"v7","v58",25
"v7","v59",97
"v7","v60",31
"v8","v61",4
"v8","v62",23
"v8","v63",67
"v8","v64",50
"v8","v65",25
"v8","v66",2
"v8","v67",54
"v8","v68",78
"v8","v69",9
"v8","v70",29
"v9","v71",34
"v9","v72",99
"v9","v73",82
"v9","v74",36
"v9","v75",14
"v9","v76",66
"v9","v77",15
"v9","v78",64
"v9","v79",37
"v9","v80",26
"v10","v81",70
"v10","v82",16
"v10","v83",95
"v10","v84",30
"v10","v85",2
"v10","v86",18
"v10","v87",96
"v10","v88",6
"v10","v89",5
"v10","v90",52
"v11","v91",99
"v11","v92",89
"v11","v93",24
"v11","v94",6
"v11","v95",83
"v11","v96",53
"v11","v97",67
"v11","v98",17
"v11","v99",38
"v11","v100",39
"v15","v2220",45
"v15","v19378",2
"v15","v20936",98
"v15","v21853",72
"v15","v26048",29
"v15","v27606",38
"v15","v27607",59
"v15","v27608",78
"v15","v27609",98
"v15","v27610",95
"v16","v2214",5
"v16","v2312",10
"v16","v6206",32
"v16","v6864",46
"v16","v7318",76
"v16","v15562",36
"v16","v17822",99
"v16","v22490",43
"v16","v25216",100
"v16","v28230",69
"v17","v24957",13
"v20","v66",61
"v20","v67",58
"v20","v69",95
"v20","v70",9
"v20","v6275",96
"v20","v20349",69
"v20","v27702",14
"v20","v28925",31
"v20","v28926",7
"v20","v28927",63
"v32","v42",43
"v32","v1000",66
"v32","v1032",83
"v32","v1033",53
"v32","v1034",68
"v32","v1035",22
"v32","v1036",96
"v32","v1037",13
"v32","v1038",72
"v32","v1039",2
"v34","v42",91
"v34","v1000",32
"v34","v1001",39
"v34","v1003",58
"v34","v1004",17
"v34","v1005",91
"v34","v1006",41
"v34","v1007",80
"v34","v1068",36
"v34","v5078",7
"v42","v75",73
"v42","v1073",99
"v42","v1074",96
"v42","v1075",20
"v42","v1076",55
"v42","v1077",24
"v42","v1078",90
"v42","v1079",61
"v42","v1080",6
"v42","v1081",27
"v44","v173",24
"v44","v2529",7
"v44","v2530",14
"v44","v2531",71
"v44","v2532",39
"v44","v2533",95
"v44","v2534",21
"v44","v2535",45
"v44","v2536",67
"v44","v2537",35
"v47","v2538",27
"v47","v2539",95
"v47","v2540",64
"v47","v2541",39
"v47","v2542",45
"v47","v2543",91
"v47","v2544",51
"v47","v2545",60
"v47","v2546",24
"v47","v2547",48
"v53","v2316",86
"v53","v5539",18
"v53","v6442",73
"v53","v6833",40
"v53","v19015",48
"v53","v19016",86
"v53","v19017",97
"v53","v19018",86
"v53","v19019",24
"v53","v19020",21
"v54","v946",45
"v54","v4534",69
"v54","v6694",36
"v54","v7905",16
"v54","v11328",26
"v54","v12869",35
"v54","v16790",43
"v54","v23474",12
"v54","v23475",80
"v54","v23476",53
"v55","v7754",45
"v55","v8897",96
"v55","v9286",19
"v55","v17782",97
"v55","v26356",93
"v55","v26357",16
"v55","v26358",92
"v55","v26359",34
"v55","v26360",70
"v55","v26361",98
"v61","v2085",54
"v61","v2087",48
"v61","v2120",26
"v61","v2121",11
"v61","v2122",63
"v61","v2123",12
"v61","v2124",9
"v61","v2125",78
"v61","v2126",62
"v61","v2127",26
"v62","v1027",36
"v62","v2128",69
"v62","v2129",96
"v62","v2130",77
"v62","v2131",68
"v62","v2132",40
"v62","v2133",75
"v62","v2134",32
"v62","v2135",57
"v62","v2136",2
"v63","v74",73
"v63","v2137",61
"v63","v2138",95
"v63","v2139",85
"v63","v2140",56
"v63","v2141",90
"v63","v2142",8
"v63","v2143",16
"v63","v2144",94
"v63","v2145",70
"v64","v1775",81
"v64","v1776",56
"v64","v1777",56
"v64","v1778",7
"v64","v1981",64
"v64","v1985",3
"v64","v1986",77
"v64","v1988",9
"v64","v2649",50
"v64","v2904",32
"v65","v2500",45
"v65","v4905",39
"v65","v6886",9
"v65","v6887",98
"v65","v6888",52
"v65","v6889",50
"v65","v6890",4
"v65","v6891",32
"v65","v6892",32
"v65","v6893",15
"v66","v2514",20
"v66","v3775",76
"v66","v7210",10
"v66","v7211",81
"v66","v7212",30
"v66","v7213",24
"v66","v7214",55
"v66","v7215",61
"v66","v7216",38
"v66","v7217",46
"v67","v453",18
"v67","v454",26
"v67","v942",1
"v67","v1612",57
"v67","v2837",65
"v67","v4262",98
"v67","v5702",49
"v67","v7206",5
"v67","v7637",51
"v67","v7638",51
"v68","v2051",77
"v68","v3131",13
"v68","v3132",55
"v68","v3823",98
"v68","v3827",5
"v68","v4819",82
"v68","v7721",49
"v68","v7722",66
"v68","v10316",79
"v68","v11179",100
"v69","v39",10
"v69","v3389",30
"v69","v3876",54
"v69","v11833",84
"v69","v11834",48
"v69","v11835",8
"v69","v11836",74
"v69","v11837",23
"v69","v11838",6
"v70","v1296",77
"v70","v1424",54
"v70","v14057",25
"v70","v15546",31
"v70","v17715",67
"v70","v17716",1
"v70","v17717",45
"v70","v17718",71
"v70","v17719",86
"v70","v17720",17
"v71","v122",99
"v71","v123",56
"v71","v124",34
"v71","v125",58
"v71","v126",77
"v71","v127",79
"v71","v128",67
"v71","v129",58
"v71","v130",12
"v71","v131",79
"v75","v1668",15
"v75","v3199",20
"v75","v3266",38
"v75","v3267",34
"v75","v3268",92
"v75","v3269",21
"v75","v3270",63
"v75","v3271",34
"v75","v3272",98
"v75","v3273",32
"v75","v3274",89
"v79","v3275",90
"v79","v3276",74
"v79","v3277",78
"v79","v3278",5
"v79","v3279",59
"v79","v3280",1
"v79","v3281",55
"v79","v3282",61
"v79","v3283",16
"v79","v3284",48
"v81","v2390",81
"v81","v3693",31
"v81","v5560",56
"v81","v13156",47
"v81","v13157",8
"v81","v13158",39
"v81","v13159",1
"v81","v13160",27
"v81","v13161",36
"v81","v13162",58
"v88","v2",14
"v88","v7",15
"v88","v11",94
"v88","v1439",61
"v88","v4658",55
"v88","v4660",19
"v88","v6013",58
"v88","v6017",86
"v88","v12681",30
"v88","v20529",16
"v91","v1919",64
"v91","v1920",3
"v101","v71",18
"v101","v102",44
"v101","v103",20
"v101","v104",68
"v101","v105",48
"v101","v106",70
"v101","v107",96
"v101","v108",4
"v101","v109",74
"v101","v110",4
"v103","v111",49
"v108","v112",86
"v108","v113",59
"v108","v114",60
"v108","v115",7
"v108","v116",31
"v108","v117",25
"v108","v118",33
"v108","v119",74
"v108","v120",4
"v108","v121",98
"v109","v132",21
"v109","v133",51
"v109","v134",32
"v109","v135",81
"v109","v136",4
"v109","v137",1
"v109","v138",21
"v109","v139",34
"v109","v140",59
"v109","v141",4
"v111","v696",77
"v111","v697",51
"v111","v698",35
"v111","v699",81
"v111","v700",80
"v111","v701",33
"v111","v702",75
"v111","v703",50
"v111","v704",43
"v111","v705",50
"v112","v2059",72
"v112","v2060",11
"v112","v2061",80
"v112","v2062",84
"v112","v2063",71
"v112","v2064",41
"v112","v2065",24
"v112","v2066",51
"v112","v2067",72
"v112","v2068",30
"v114","v5054",19
"v114","v7968",47
"v114","v11372",100
"v114","v11373",31
"v114","v11374",22
"v114","v11375",77
"v114","v11376",25
"v114","v11377",45
"v114","v11378",59
"v114","v11379",97
"v126","v3891",72
"v126","v8415",65
"v126","v11643",61
"v126","v11644",99
"v126","v11645",52
"v126","v11646",41
"v126","v11647",4
"v126","v11648",52
"v126","v11649",2
"v126","v11650",6
"v132","v5627",81
"v132","v9396",19
"v132","v9397",75
"v132","v9398",50
"v132","v9399",14
"v132","v9400",21
"v132","v9401",26
"v132","v9402",13
"v132","v9403",84
"v132","v9404",89
"v138","v7662",18
"v138","v8808",9
"v138","v9405",51
"v138","v9406",25
"v138","v9407",96
"v138","v9408",58
"v138","v9409",12
"v138","v9410",91
"v138","v9411",67
"v138","v9412",11
"v142","v143",94
"v142","v144",54
"v142","v145",66
"v142","v146",61
"v142","v147",43
"v142","v148",4
"v142","v149",53
"v142","v150",8
"v142","v151",42
"v142","v152",11
"v143","v153",1
"v143","v154",100
"v143","v155",28
"v143","v156",72
"v143","v157",88
"v143","v158",15
"v143","v159",26
"v143","v160",42
"v143","v161",18
"v143","v162",49
"v157","v7238",43
"v157","v12302",16
"v157","v18069",75
"v157","v24266",46
"v157","v29346",74
"v157","v34458",21
"v157","v39478",12
"v157","v39479",40
"v157","v39480",55
"v157","v39481",6
"v161","v402",30
"v161","v2274",54
"v161","v2900",90
"v161","v7093",67
"v161","v16721",57
"v161","v26963",5
"v161","v33948",61
"v161","v34139",99
"v161","v37463",93
"v161","v44649",21
"v163","v164",17
"v163","v165",81
"v163","v166",68
"v163","v167",53
"v163","v168",40
"v163","v169",99
"v163","v170",2
"v163","v171",12
"v163","v172",17
"v163","v173",92
"v168","v174",72
"v168","v175",29
"v168","v176",72
"v168","v177",62
"v168","v178",46
"v168","v179",21
"v168","v180",41
"v168","v181",59
"v168","v182",54
"v168","v183",28
"v180","v1415",51
"v180","v2937",12
"v180","v3697",64
"v180","v6047",95
"v180","v11966",34
"v180","v11967",28
"v180","v11968",28
"v180","v11969",96
"v180","v11970",32
"v180","v11971",43
"v184","v185",17
"v184","v186",7
"v184","v187",16
"v184","v188",25
"v184","v189",2
"v184","v190",98
"v184","v191",62
"v184","v192",4
"v184","v193",25
"v184","v194",9
"v185","v195",37
"v185","v196",82
"v185","v197",16
"v185","v198",11
"v185","v199",17
"v185","v200",6
"v185","v201",74
"v185","v202",82
"v185","v203",21
"v195","v2316",92
"v195","v2317",70
"v195","v2318",66
"v195","v2319",28
"v195","v2320",37
"v195","v2321",29
"v195","v2322",26
"v195","v2323",85
"v195","v2324",68
"v195","v2325",50
"v196","v2496",77
"v196","v2793",47
"v196","v2794",77
"v196","v2795",67
"v196","v2796",68
"v196","v2797",21
"v196","v2798",85
"v196","v2799",92
"v196","v2800",11
"v196","v2801",59
"v199","v203",12
"v199","v761",45
"v199","v6570",19
"v199","v11232",19
"v199","v16158",35
"v199","v16159",26
"v199","v16160",68
"v199","v16161",90
"v199","v16162",19
"v199","v16163",15
"v203","v1105",26
"v203","v3359",19
"v203","v7171",29
"v203","v10368",30
"v203","v17034",35
"v203","v17650",28
"v203","v17651",41
"v203","v17652",55
"v203","v17653",41
"v203","v17654",97
"v204","v149",36
"v204","v205",84
"v204","v206",49
"v204","v207",66
"v204","v208",12
"v204","v209",53
"v204","v210",65
"v204","v211",77
"v204","v212",38
"v204","v213",76
"v209","v214",46
"v209","v215",11
"v209","v216",16
"v209","v217",93
"v209","v218",11
"v209","v219",48
"v209","v220",38
"v209","v221",100
"v209","v222",48
"v209","v223",16
"v210","v224",94
"v210","v225",80
"v210","v226",30
"v210","v227",65
"v210","v228",80
"v210","v229",2
"v210","v230",26
"v210","v231",90
"v210","v232",59
"v210","v233",34
"v213","v234",1
"v213","v235",90
"v213","v236",71
"v213","v237",18
"v213","v238",47
"v213","v239",39
"v213","v240",44
"v213","v241",39
"v213","v242",37
"v213","v243",22
"v214","v1586",20
"v214","v1793",97
"v214","v3734",48
"v214","v4948",89
"v214","v4949",60
"v214","v4950",88
"v214","v4951",36
"v214","v4952",36
"v214","v4953",13
"v214","v4954",85
"v219","v4955",90
"v219","v4956",85
"v219","v4957",35
"v219","v4958",68
"v219","v4959",20
"v219","v4960",16
"v219","v4961",46
"v219","v4962",77
"v219","v4963",62
"v219","v4964",26
"v220","v276",20
"v220","v277",32
"v220","v278",4
"v220","v284",99
"v220","v285",99
"v220","v2286",40
"v220","v2353",5
"v220","v2500",4
"v220","v2501",80
"v220","v3154",66
"v221","v1023",92
"v221","v4965",8
"v221","v4966",25
"v221","v4967",66
"v221","v4968",22
"v221","v4969",55
"v221","v4970",7
"v221","v4971",51
"v221","v4972",4
"v221","v4973",33
"v229","v5846",33
"v229","v5912",42
"v229","v6950",55
"v229","v15275",78
"v229","v20378",18
"v229","v21428",1
"v229","v21429",90
"v229","v21430",66
"v229","v21431",48
"v229","v21432",23
"v230","v209",80
"v230","v2010",18
"v230","v2042",17
"v230","v2437",49
"v230","v4212",63
"v230","v4384",30
"v230","v4385",40
"v230","v4386",9
"v230","v4387",4
"v234","v2793",58
"v234","v8142",62
"v234","v8143",53
"v234","v8144",67
"v234","v8145",22
"v236","v19695",58
"v236","v30284",97
"v236","v31007",56
"v244","v245",31
"v244","v246",95
"v244","v247",56
"v244","v248",22
"v244","v249",13
"v244","v250",94
"v244","v251",28
"v244","v252",33
"v244","v253",45
"v244","v254",92
"v252","v255",99
"v252","v256",53
"v252","v257",57
"v252","v258",71
"v252","v259",4
"v252","v260",40
"v252","v261",15
"v252","v262",100
"v252","v263",67
"v252","v264",36
"v255","v220",22
"v255","v221",44
"v255","v1130",53
"v255","v1131",87
"v255","v1132",20
"v255","v1133",51
"v255","v1134",11
"v255","v1135",24
"v255","v1136",70
"v255","v1137",6
"v259","v1138",44
"v259","v1139",12
"v259","v1140",32
"v259","v1141",93
"v259","v1142",17
"v259","v1143",100
"v259","v1144",72
"v259","v1145",40
"v259","v1146",71
