id,data
"v0",0
"v1",2
"v2",4
"v3",3
"v4",3
"v5",0
"v6",2
"v7",4
"v8",3
"v9",3
"v10",4
"v11",0
"v12",0
"v13",2
"v14",2
"v15",2
"v16",3
"v17",2
"v18",4
"v19",0
"v20",2
"v21",3
"v22",4
"v23",4
"v24",2
"v25",0
"v26",3
"v27",4
"v28",3
"v29",1
"v30",0
"v31",2
"v32",1
"v33",2
"v34",2
"v35",0
"v36",3
"v37",4
"v38",4
"v39",4
"v40",1
"v41",2
"v42",2
"v43",3
"v44",1
"v45",0
"v46",0
"v47",3
"v48",1
"v49",4
"v50",2
"v51",1
"v52",3
"v53",3
"v54",4
"v55",3
"v56",0
"v57",4
"v58",1
"v59",0
"v60",3
"v61",2
"v62",1
"v63",4
"v64",4
"v65",1
"v66",3
"v67",2
"v68",3
"v69",3
"v70",3
"v71",3
"v72",1
"v73",0
"v74",3
"v75",0
"v76",4
"v77",3
"v78",1
"v79",0
"v80",4
"v81",0
"v82",4
"v83",4
"v84",1
"v85",2
"v86",0
"v87",0
"v88",4
"v89",1
"v90",3
"v91",3
"v92",3
"v93",0
"v94",2
"v95",2
"v96",1
"v97",1
"v98",2
"v99",3
"v100",4
"v101",1
"v102",2
"v103",1
"v104",3
"v105",2
"v106",3
"v107",2
"v108",2
"v109",4
"v110",4
"v111",4
"v112",1
"v113",0
"v114",0
"v115",0
"v116",3
"v117",2
"v118",4
"v119",3
"v120",2
"v121",0
"v122",2
"v123",4
"v124",3
"v125",0
"v126",3
"v127",3
"v128",0
"v129",1
"v130",2
"v131",2
"v132",0
"v133",2
"v134",2
"v135",2
"v136",1
"v137",0
"v138",2
"v139",1
"v140",1
"v141",0
"v142",1
"v143",3
"v144",2
"v145",1
"v146",0
"v147",0
"v148",4
"v149",0
"v150",1
"v151",2
"v152",3
"v153",0
"v154",4
"v155",4
"v156",3
"v157",4
"v158",0
"v159",0
"v160",1
"v161",3
"v162",1
"v163",3
"v164",0
"v165",3
"v166",4
"v167",0
"v168",4
"v169",1
"v170",4
"v171",1
"v172",4
"v173",3
"v174",3
"v175",4
"v176",0
"v177",0
"v178",4
"v179",3
"v180",2
"v181",0
"v182",2
"v183",2
"v184",4
"v185",2
"v186",0
"v187",1
"v188",0
"v189",3
"v190",0
"v191",4
"v192",3
"v193",0
"v194",0
"v195",0
"v196",4
"v197",2
"v198",1
"v199",4
"v200",2
"v201",4
"v202",0
"v203",3
"v204",1
"v205",2
"v206",0
"v207",1
"v208",3
"v209",4
"v210",2
"v211",3
"v212",2
"v213",0
"v214",0
"v215",2
"v216",1
"v217",3
"v218",2
"v219",1
"v220",0
"v221",0
"v222",3
"v223",0
"v224",1
"v225",2
"v226",4
"v227",4
"v228",1
"v229",1
"v230",1
"v231",2
"v232",0
"v233",4
"v234",4
"v235",0
"v236",4
"v237",2
"v238",0
"v239",3
"v240",4
"v241",0
"v242",0
"v243",0
"v244",1
"v245",3
"v246",2
"v247",1
"v248",3
"v249",4
"v250",1
"v251",4
"v252",3
"v253",3
"v254",2
"v255",1
"v256",4
"v257",3
"v258",1
"v259",1
"v260",4
"v261",4
"v262",0
"v263",4
"v264",0
"v265",4
"v266",3
"v267",4
"v268",0
"v269",2
"v270",0
"v271",2
"v272",0
"v273",0
"v274",1
"v275",4
"v276",2
"v277",3
"v278",4
"v279",0
"v280",0
"v281",1
"v282",2
"v283",4
"v284",2
"v285",4
"v286",1
"v287",3
"v288",0
"v289",3
"v290",4
"v291",4
"v292",4
"v293",3
"v294",3
"v295",2
"v296",2
"v297",3
"v298",2
"v299",0
"v300",1
"v301",3
"v302",4
"v303",0
"v304",1
"v305",0
"v306",4
"v307",0
"v308",0
"v309",1
"v310",3
"v311",0
"v312",3
"v313",2
"v314",1
"v315",3
"v316",1
"v317",2
"v318",1
"v319",3
"v320",4
"v321",4
"v322",2
"v323",3
"v324",1
"v325",0
"v326",2
"v327",3
"v328",2
"v329",1
"v330",3
"v331",4
"v332",3
"v333",2
"v334",4
"v335",3
"v336",0
"v337",4
"v338",0
"v339",0
"v340",2
"v341",0
"v342",0
"v343",0
"v344",1
"v345",2
"v346",3
"v347",0
"v348",1
"v349",0
"v350",2
"v351",3
"v352",4
"v353",3
"v354",0
"v355",4
"v356",3
"v357",2
"v358",0
"v359",4
"v360",0
"v361",3
"v362",2
"v363",2
"v364",3
"v365",4
"v366",2
"v367",2
"v368",4
"v369",0
"v370",3
"v371",3
"v372",3
"v373",3
"v374",0
"v375",3
"v376",4
"v377",1
"v378",0
"v379",4
"v380",2
"v381",3
"v382",3
"v383",2
"v384",0
"v385",0
"v386",1
"v387",0
"v388",3
"v389",0
"v390",0
"v391",3
"v392",3
"v393",3
"v394",1
"v395",0
"v396",4
"v397",0
"v398",4
"v399",2
"v400",4
"v401",4
"v402",2
"v403",4
"v404",1
"v405",0
"v406",4
"v407",3
"v408",0
"v409",0
"v410",3
"v411",0
"v412",1
"v413",4
"v414",3
"v415",1
"v416",4
"v417",0
"v418",1
"v419",1
"v420",4
"v421",4
"v422",3
"v423",1
"v424",1
"v425",4
"v426",0
"v427",3
"v428",1
"v429",0
"v430",3
"v431",1
"v432",1
"v433",0
"v434",0
"v435",3
"v436",4
"v437",4
"v438",3
"v439",0
"v440",0
"v441",2
"v442",3
"v443",3
"v444",2
"v445",3
"v446",0
"v447",4
"v448",0
"v449",2
"v450",1
"v451",0
"v452",1
"v453",0
"v454",3
"v455",3
"v456",0
"v457",0
"v458",2
"v459",3
"v460",2
"v461",2
"v462",1
"v463",0
"v464",0
"v465",4
"v466",2
"v467",1
"v468",2
"v469",4
"v470",0
"v471",1
"v472",2
"v473",3
"v474",2
"v475",0
"v476",4
"v477",0
"v478",3
"v479",0
"v480",1
"v481",4
"v482",4
"v483",0
"v484",4
"v485",3
"v486",4
"v487",1
"v488",1
"v489",4
"v490",0
"v491",3
"v492",2
"v493",0
"v494",1
"v495",0
"v496",2
"v497",2
"v498",4
"v499",3
"v500",1
"v501",1
"v502",1
"v503",1
"v504",1
"v505",3
"v506",1
"v507",1
"v508",0
"v509",0
"v510",0
"v511",3
"v512",3
"v513",2
"v514",0
"v515",1
"v516",3
"v517",4
"v518",3
"v519",2
"v520",2
"v521",0
"v522",1
"v523",2
"v524",1
"v525",1
"v526",0
"v527",4
"v528",1
"v529",2
"v530",1
"v531",3
"v532",4
"v533",3
"v534",1
"v535",1
"v536",0
"v537",0
"v538",1
"v539",0
"v540",3
"v541",1
"v542",0
"v543",1
"v544",4
"v545",0
"v546",2
"v547",1
"v548",3
"v549",0
"v550",4
"v551",2
"v552",4
"v553",1
"v554",1
"v555",1
"v556",1
"v557",2
"v558",0
"v559",4
"v560",1
"v561",0
"v562",3
"v563",1
"v564",4
"v565",3
"v566",3
"v567",4
"v568",0
"v569",2
"v570",4
"v571",3
"v572",4
"v573",0
"v574",3
"v575",3
"v576",4
"v577",4
"v578",2
"v579",0
"v580",4
"v581",0
"v582",1
"v583",0
"v584",3
"v585",3
"v586",0
"v587",1
"v588",2
"v589",4
"v590",1
"v591",2
"v592",0
"v593",0
"v594",0
"v595",0
"v596",2
"v597",0
"v598",2
"v599",2
"v600",4
"v601",2
"v602",0
"v603",3
"v604",4
"v605",4
"v606",4
"v607",4
"v608",1
"v609",0
"v610",4
"v611",3
"v612",3
"v613",0
"v614",4
"v615",0
"v616",2
"v617",1
"v618",3
"v619",3
"v620",3
"v621",1
"v622",1
"v623",4
"v624",1
"v625",2
"v626",3
"v627",4
"v628",2
"v629",0
"v630",0
"v631",2
"v632",4
"v633",4
"v634",4
"v635",4
"v636",2
"v637",4
"v638",0
"v639",0
"v640",1
"v641",1
"v642",0
"v643",4
"v644",1
"v645",3
"v646",3
"v647",3
"v648",4
"v649",4
"v650",3
"v651",4
"v652",0
"v653",1
"v654",2
"v655",4
"v656",0
"v657",1
"v658",4
"v659",1
"v660",0
"v661",3
"v662",2
"v663",2
"v664",1
"v665",4
"v666",2
"v667",2
"v668",0
"v669",4
"v670",0
"v671",2
"v672",2
"v673",4
"v674",2
"v675",1
"v676",3
"v677",2
"v678",4
"v679",4
"v680",3
"v681",3
"v682",2
"v683",1
"v684",2
"v685",1
"v686",1
"v687",2
"v688",1
"v689",0
"v690",0
"v691",4
"v692",0
"v693",1
"v694",2
"v695",3
"v696",2
"v697",2
"v698",4
"v699",1
"v700",3
"v701",2
"v702",1
"v703",0
"v704",3
"v705",4
"v706",4
"v707",4
"v708",1
"v709",0
"v710",1
"v711",3
"v712",2
"v713",1
"v714",4
"v715",0
"v716",0
"v717",3
"v718",4
"v719",0
"v720",3
"v721",1
"v722",1
"v723",2
"v724",1
"v725",4
"v726",1
"v727",4
"v728",0
"v729",1
"v730",1
"v731",2
"v732",3
"v733",3
"v734",2
"v735",0
"v736",3
"v737",1
"v738",4
"v739",1
"v740",4
"v741",1
"v742",4
"v743",1
"v744",1
"v745",0
"v746",2
"v747",4
"v748",0
"v749",4
"v750",3
"v751",1
"v752",2
"v753",4
"v754",4
"v755",2
"v756",0
"v757",1
"v758",1
"v759",0
"v760",2
"v761",2
"v762",2
"v763",4
"v764",4
"v765",2
"v766",2
"v767",2
"v768",0
"v769",4
"v770",0
"v771",2
"v772",1
"v773",1
"v774",0
"v775",4
"v776",2
"v777",4
"v778",1
"v779",0
"v780",2
"v781",3
"v782",4
"v783",4
"v784",3
"v785",0
"v786",1
"v787",0
"v788",1
"v789",1
"v790",1
"v791",0
"v792",1
"v793",2
"v794",0
"v795",3
"v796",0
"v797",3
"v798",2
"v799",4
"v800",1
"v801",3
"v802",1
"v803",0
"v804",3
"v805",0
"v806",4
"v807",2
"v808",4
"v809",3
"v810",3
"v811",4
"v812",0
"v813",0
"v814",0
"v815",4
"v816",4
"v817",3
"v818",3
"v819",2
"v820",2
"v821",1
"v822",4
"v823",0
"v824",0
"v825",0
"v826",3
"v827",1
"v828",2
"v829",1
"v830",2
"v831",1
"v832",4
"v833",3
"v834",1
"v835",3
"v836",0
"v837",3
"v838",1
"v839",4
"v840",3
"v841",4
"v842",1
"v843",0
"v844",4
"v845",4
"v846",0
"v847",0
"v848",0
"v849",3
"v850",2
"v851",3
"v852",2
"v853",4
"v854",3
"v855",3
"v856",0
"v857",0
"v858",0
"v859",1
"v860",2
"v861",0
"v862",2
"v863",3
"v864",3
"v865",2
"v866",1
"v867",4
"v868",0
"v869",0
"v870",3
"v871",2
"v872",3
"v873",3
"v874",4
"v875",0
"v876",2
"v877",4
"v878",0
"v879",4
"v880",3
"v881",0
"v882",0
"v883",3
"v884",0
"v885",0
"v886",4
"v887",0
"v888",1
"v889",1
"v890",1
"v891",1
"v892",4
"v893",3
"v894",4
"v895",2
"v896",4
"v897",3
"v898",0
"v899",2
"v900",0
"v901",3
"v902",4
"v903",2
"v904",0
"v905",0
"v906",2
"v907",0
"v908",2
"v909",1
"v910",3
"v911",2
"v912",3
"v913",4
"v914",0
"v915",3
"v916",3
"v917",3
"v918",1
"v919",0
"v920",0
"v921",3
"v922",0
"v923",4
"v924",2
"v925",1
"v926",1
"v927",1
"v928",1
"v929",4
"v930",4
"v931",1
"v932",4
"v933",2
"v934",3
"v935",4
"v936",4
"v937",4
"v938",3
"v939",1
"v940",0
"v941",3
"v942",2
"v943",4
"v944",3
"v945",4
"v946",3
"v947",1
"v948",2
"v949",3
"v950",3
"v951",4
"v952",4
"v953",4
"v954",1
"v955",1
"v956",2
"v957",3
"v958",4
"v959",3
"v960",4
"v961",0
"v962",1
"v963",3
"v964",4
"v965",1
"v966",4
"v967",2
"v968",4
"v969",4
"v970",4
"v971",1
"v972",4
"v973",1
"v974",2
"v975",0
"v976",4
"v977",2
"v978",3
"v979",1
"v980",0
"v981",1
"v982",4
"v983",0
"v984",1
"v985",2
"v986",3
"v987",3
"v988",0
"v989",2
"v990",2
"v991",4
"v992",1
"v993",0
"v994",1
"v995",2
"v996",3
"v997",2
"v998",1
"v999",1
"v1000",0
"v1001",1
"v1002",3
"v1003",3
"v1004",0
"v1005",0
"v1006",4
"v1007",4
"v1008",2
"v1009",4
"v1010",0
"v1011",2
"v1012",4
"v1013",2
"v1014",4
"v1015",2
"v1016",2
"v1017",3
"v1018",1
"v1019",3
"v1020",2
"v1021",1
"v1022",1
"v1023",3
"v1024",1
"v1025",0
"v1026",1
"v1027",0
"v1028",4
"v1029",4
"v1030",4
"v1031",4
"v1032",0
"v1033",0
"v1034",1
"v1035",4
"v1036",0
"v1037",3
"v1038",3
"v1039",2
"v1040",3
"v1041",0
"v1042",2
"v1043",0
"v1044",4
"v1045",0
"v1046",3
"v1047",0
"v1048",4
"v1049",3
"v1050",4
"v1051",1
"v1052",2
"v1053",3
"v1054",4
"v1055",0
"v1056",1
"v1057",0
"v1058",3
"v1059",1
"v1060",4
"v1061",4
"v1062",0
"v1063",4
"v1064",0
"v1065",2
"v1066",3
"v1067",0
"v1068",4
"v1069",0
"v1070",1
"v1071",3
"v1072",1
"v1073",4
"v1074",0
"v1075",4
"v1076",0
"v1077",2
"v1078",4
"v1079",4
"v1080",1
"v1081",4
"v1082",0
"v1083",2
"v1084",1
"v1085",0
"v1086",4
"v1087",4
"v1088",0
"v1089",2
"v1090",0
"v1091",3
"v1092",3
"v1093",2
"v1094",1
"v1095",1
"v1096",3
"v1097",3
"v1098",2
"v1099",4
"v1100",2
"v1101",3
"v1102",4
"v1103",3
"v1104",1
"v1105",1
"v1106",1
"v1107",0
"v1108",1
"v1109",4
"v1110",3
"v1111",0
"v1112",2
"v1113",2
"v1114",1
"v1115",2
"v1116",1
"v1117",1
"v1118",2
"v1119",1
"v1120",3
"v1121",1
"v1122",0
"v1123",2
"v1124",3
"v1125",1
"v1126",3
"v1127",2
"v1128",0
"v1129",0
"v1130",3
"v1131",2
"v1132",3
"v1133",0
"v1134",4
"v1135",1
"v1136",3
"v1137",4
"v1138",0
"v1139",3
"v1140",4
"v1141",0
"v1142",3
"v1143",2
"v1144",3
"v1145",2
"v1146",1
"v1147",1
"v1148",1
"v1149",3
"v1150",4
"v1151",4
"v1152",2
"v1153",4
"v1154",2
"v1155",3
"v1156",4
"v1157",2
"v1158",0
"v1159",1
"v1160",2
"v1161",2
"v1162",3
"v1163",0
"v1164",0
"v1165",3
"v1166",2
"v1167",0
"v1168",3
"v1169",0
"v1170",3
"v1171",2
"v1172",3
"v1173",3
"v1174",2
"v1175",1
"v1176",4
"v1177",1
"v1178",1
"v1179",3
"v1180",4
"v1181",1
"v1182",2
"v1183",4
"v1184",1
"v1185",1
"v1186",1
"v1187",4
"v1188",4
"v1189",4
"v1190",0
"v1191",2
"v1192",1
"v1193",2
"v1194",2
"v1195",0
"v1196",2
"v1197",1
"v1198",1
"v1199",4
"v1200",3
"v1201",2
"v1202",4
"v1203",4
"v1204",3
"v1205",0
"v1206",2
"v1207",4
"v1208",4
"v1209",4
"v1210",4
"v1211",4
"v1212",1
"v1213",2
"v1214",4
"v1215",4
"v1216",2
"v1217",3
"v1218",0
"v1219",4
"v1220",0
"v1221",3
"v1222",1
"v1223",1
"v1224",0
"v1225",3
"v1226",4
"v1227",1
"v1228",3
