personId|firstName
INTEGER|VARCHAR
933|K.
1129|K.
4194|K.
8333|K.
8698|K.
8853|K.
10027|K.
11122|K.
14876|K.
20415|K.
20723|K.
21582|K.
25675|K.
27019|K.
27127|K.
27625|K.
30277|K.
31411|K.
31999|K.
34318|K.
36675|K.
37217|K.
38098|K.
40004|K.
40105|K.
40722|K.
41758|K.
43518|K.
43671|K.
45220|K.
45754|K.
46172|K.
46980|K.
50585|K.
51239|K.
53286|K.
53433|K.
54488|K.
57880|K.
66294|K.
67663|K.
2199023256684|K.
2199023261211|K.
2199023262818|K.
2199023262994|K.
2199023266220|K.
2199023268616|K.
2199023275316|K.
2199023275685|K.
2199023278977|K.
2199023279387|K.
