personId1|personId2
INTEGER|INTEGER
1129|19791209348781
4194|13194139549051
8333|30786325644024
8698|8796093032245
8853|8796093069661
10027|13194139559567
11122|10995116302263
14876|19791209357092
20415|41416
20723|13194139573807
21582|26388279093938
25675|4398046534819
27019|6597069793884
27127|13194139538575
27625|13194139569614
30277|28587302385590
31411|4398046543991
31999|32985348871091
34318|8796093036432
36675|6597069774931
37217|26388279094760
38098|6597069807243
40004|15393162810908
40105|28587302346717
40722|28587302327183
41758|19791209347597
43518|30786325646861
43671|4398046568998
45220|15393162837479
45754|21990232600232
46172|28587302337452
46980|32985348884839
50585|6597069796803
51239|2199023316514
53286|26388279080230
53433|15393162796861
54488|24189255817201
57880|21990232581753
66294|26388279114318
67663|15393162837392
2199023256684|10995116343794
2199023261211|2199023313588
2199023262818|4398046574782
2199023262994|10995116348425
2199023266220|30786325595760
2199023268616|26388279103601
2199023275316|28587302389656
2199023275685|8796093023143
2199023278977|6597069774931
2199023279387|4398046540127
2199023281896|6597069770886
