personId1|personId2|length
INTEGER|INTEGER|INTEGER
1129|51934|88
4194|24189255878619|88
8333|8796093086895|73
8698|13194139555406|85
8853|24189255876864|82
10027|17592186053568|79
11122|8796093032245|79
14876|2199023291886|79
20415|32985348855257|87
20723|6597069833663|85
21582|15393162796577|77
25675|28587302331745|79
27019|10995116345403|88
27127|13194139540894|112
27625|6597069780295|88
30277|21654|77
31411|10995116289361|74
31999|24189255864204|78
34318|26388279096888|82
36675|26388279138679|84
37217|28587302330345|90
38098|6597069779568|80
40004|49932|83
40105|2199023315628|75
40722|32985348880988|75
41758|24189255878619|88
43518|24189255859089|112
43671|10995116325562|88
45220|13194139581724|85
45754|10995116303367|79
46172|19791209316161|75
46980|6597069833609|74
50585|4398046574506|90
51239|1355|103
53286|26388279080230|75
53433|21990232561048|79
54488|24189255817201|74
57880|6597069816195|88
66294|32985348877703|78
67663|6597069780295|88
2199023256684|13194139581724|85
2199023261211|28587302332758|87
2199023262818|4398046574782|74
2199023262994|15393162850042|83
2199023266220|30786325617558|85
2199023268616|26388279103601|79
2199023275316|4398046520894|74
2199023275685|24189255878619|88
2199023278977|26388279094536|83
2199023279387|2199023326284|85
2199023281896|26388279120130|87
