personId|startDate|durationDays|countryXName|countryYName
INTEGER|INTEGER|INTEGER|VARCHAR|VARCHAR
933|1306920393031|51|India|India
1129|1336959011259|40|India|India
4194|1303111443687|42|India|India
8333|1344406212652|70|India|India
8698|1340466568476|62|India|India
8853|1339807254133|21|India|India
10027|1342405315201|67|India|India
11122|1339688273421|67|India|India
14876|1344835678912|54|India|India
20415|1337384851933|35|India|India
20723|1331406779488|71|India|India
21582|1335283543468|88|India|India
25675|1336591094650|52|India|India
27019|1337137562279|48|India|India
27127|1332938355940|84|India|India
27625|1322292854981|80|India|India
30277|1323723487756|39|India|India
31411|1343523973485|54|China|China
31999|1336968024861|77|Angola|Angola
34318|1273370345834|71|India|India
36675|1340819795528|39|India|India
37217|1307128555959|44|India|India
38098|1340709656871|61|India|India
40004|1322455275075|82|India|India
40105|1333545214100|60|India|India
40722|1342520204376|63|India|India
41758|1333706809997|65|India|India
43518|1339997355368|38|India|India
43671|1335312228111|78|India|India
45220|1304351025127|88|India|India
45754|1342753196027|61|India|India
46172|1342070473886|43|India|India
46980|1333237322717|75|India|India
50585|1335638708879|46|India|India
51239|1292455753671|40|India|India
53286|1327851984971|83|India|India
53433|1333609958752|68|India|India
54488|1339122342068|36|Austria|Austria
57880|1331456340786|20|India|India
66294|1344931262434|54|India|India
67663|1341292873886|60|India|Colombia
2199023256684|1300134170670|31|India|India
2199023261211|1312198385063|79|India|India
2199023262818|1341251659409|32|India|India
2199023262994|1342021105352|61|India|India
2199023266220|1321948736224|86|India|India
2199023268616|1338995981920|66|India|India
2199023275316|1306914650071|52|India|India
2199023275685|1316572773656|52|India|India
2199023278977|1323260960602|57|India|India
2199023279387|1342733595405|42|India|India
