personId|startDate|durationDays
INTEGER|INTEGER|INTEGER
933|1314617853588|61
1129|1328391708264|46
4194|1277606084970|52
8333|1344632062724|55
8698|1339932058172|26
8853|1331209506770|60
10027|1324039617636|79
11122|1314172862035|90
14876|1335189892279|22
20415|1341240408806|21
20723|1280746105684|86
21582|1331078592901|50
25675|1315974617036|51
27019|1342885505344|46
27127|1342244538905|22
27625|1315369727036|62
30277|1344300491469|41
31411|1330179002799|50
31999|1334831597943|47
34318|1341622560209|82
36675|1322870469435|26
37217|1316094902036|49
38098|1314920672035|71
40004|1340891506947|55
40105|1342735870192|84
40722|1339852157153|90
41758|1280577764444|61
43518|1315033847036|71
43671|1342765894602|37
45220|1338381102615|44
45754|1341351298116|52
46172|1341918494305|53
46980|1317282346464|61
50585|1281158719910|48
51239|1338143675282|68
53286|1314968025223|78
53433|1334786329865|85
54488|1334289332420|38
57880|1317390309382|45
66294|1342374432276|59
67663|1340037863751|86
2199023256684|1340622494305|82
2199023261211|1339319310066|88
2199023262818|1340882344686|62
2199023262994|1337540243093|27
2199023266220|1296816911273|23
2199023268616|1342705057954|63
2199023275316|1334672299489|86
2199023275685|1316610827036|32
2199023278977|1305119413447|31
2199023279387|1330603887692|89
